mes,lote,cod_distrito,distrito,año,waste_type,amount,category
NOVIEMBRE,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,40.92,recyclable
NOVIEMBRE,2,3,RETIRO,2022,orgánica_hojas_y_ramas,18.74,recyclable
NOVIEMBRE,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,8.86,recyclable
NOVIEMBRE,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,22.5,recyclable
NOVIEMBRE,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,82.759,recyclable
NOVIEMBRE,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,86.0,recyclable
NOVIEMBRE,3,10,LATINA,2022,orgánica_hojas_y_ramas,67.1,recyclable
NOVIEMBRE,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
NOVIEMBRE,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
NOVIEMBRE,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
NOVIEMBRE,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
NOVIEMBRE,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,79.33,recyclable
NOVIEMBRE,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,69.414,recyclable
NOVIEMBRE,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,29.749,recyclable
NOVIEMBRE,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,19.833,recyclable
NOVIEMBRE,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,960.0,recyclable
NOVIEMBRE,6,12,USERA,2022,orgánica_hojas_y_ramas,600.0,recyclable
NOVIEMBRE,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,840.0,recyclable
DICIEMBRE,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,30.96,recyclable
DICIEMBRE,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,68.16,recyclable
DICIEMBRE,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,110.24,recyclable
DICIEMBRE,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,84.97,recyclable
DICIEMBRE,2,3,RETIRO,2022,orgánica_hojas_y_ramas,76.709,recyclable
DICIEMBRE,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,58.5,recyclable
DICIEMBRE,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,131.69,recyclable
DICIEMBRE,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,158.62,recyclable
DICIEMBRE,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,169.019,recyclable
DICIEMBRE,3,10,LATINA,2022,orgánica_hojas_y_ramas,136.56,recyclable
DICIEMBRE,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,80.741,recyclable
DICIEMBRE,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,117.747,recyclable
DICIEMBRE,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,87.469,recyclable
DICIEMBRE,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,50.463,recyclable
DICIEMBRE,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,140.988,recyclable
DICIEMBRE,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,123.364,recyclable
DICIEMBRE,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,52.87,recyclable
DICIEMBRE,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,35.247,recyclable
DICIEMBRE,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,117.154,recyclable
DICIEMBRE,6,12,USERA,2022,orgánica_hojas_y_ramas,69.228,recyclable
DICIEMBRE,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,79.878,recyclable
ENERO,1,1,CENTRO ,2023,orgánica_hojas_y_ramas,8.06,recyclable
ENERO,1,6,TETUÁN,2023,orgánica_hojas_y_ramas,12.26,recyclable
ENERO,1,7,CHAMBERÍ,2023,orgánica_hojas_y_ramas,34.54,recyclable
ENERO,2,2,ARGANZUELA,2023,orgánica_hojas_y_ramas,38.18,recyclable
ENERO,2,3,RETIRO,2023,orgánica_hojas_y_ramas,7.02,recyclable
ENERO,2,4,SALAMANCA,2023,orgánica_hojas_y_ramas,2.9,recyclable
ENERO,2,5,CHAMARTÍN,2023,orgánica_hojas_y_ramas,2.36,recyclable
ENERO,3,8,FUENCARRAL,2023,orgánica_hojas_y_ramas,38.949,recyclable
ENERO,3,9,MONCLOA,2023,orgánica_hojas_y_ramas,70.46,recyclable
ENERO,3,10,LATINA,2023,orgánica_hojas_y_ramas,43.94,recyclable
ENERO,4,15,CIUDAD LINEAL,2023,orgánica_hojas_y_ramas,15.975,recyclable
ENERO,4,16,HORTALEZA,2023,orgánica_hojas_y_ramas,25.56,recyclable
ENERO,4,20,SAN BLAS,2023,orgánica_hojas_y_ramas,12.78,recyclable
ENERO,4,21,BARAJAS,2023,orgánica_hojas_y_ramas,9.585,recyclable
ENERO,5,13,PUENTE DE VALLECAS,2023,orgánica_hojas_y_ramas,34.876,recyclable
ENERO,5,18,VILLA DE VALLECAS,2023,orgánica_hojas_y_ramas,12.141,recyclable
ENERO,5,14,MORATALAZ,2023,orgánica_hojas_y_ramas,25.829,recyclable
ENERO,5,19,VICÁLVARO,2023,orgánica_hojas_y_ramas,8.094,recyclable
ENERO,6,11,CARABANCHEL,2023,orgánica_hojas_y_ramas,14.467,recyclable
ENERO,6,12,USERA,2023,orgánica_hojas_y_ramas,8.549,recyclable
ENERO,6,17,VILLAVERDE,2023,orgánica_hojas_y_ramas,9.864,recyclable
FEBRERO,1,1,CENTRO ,2023,orgánica_hojas_y_ramas,1.14,recyclable
FEBRERO,1,6,TETUÁN,2023,orgánica_hojas_y_ramas,0.0,recyclable
FEBRERO,1,7,CHAMBERÍ,2023,orgánica_hojas_y_ramas,1.84,recyclable
