MES;LOTE;COD_DISTRITO;DISTRITO;MUEBLES 010    ;MUEBLES RECOG. PROGRAMADA ;MUEBLES RECOG. EN CALLE             ;Kg Recogida de muebles;RESTO            ;ORGÁNICA   (HOJAS Y RAMAS)                 ;ENVASES         ;PAPEL Y CARTÓN;VARIOS/RCDs CÓD DESTINO: VERLD;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mantenimiento;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Baldeo Mixto;Nº Servicios Hidrolimpiador (Manchas);Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
ENERO;1;1;CENTRO ;35.115;15.660;3.245;54.020;602.320;17.140;14.820;12.511;14.540;661.331;1.082;1.695;110;82;0;711;87;759;3.774;827.400
ENERO;1;6;TETUÁN;22.770;13.510;36.280;72.560;388.500;34.640;660;4.400;0;428.200;672;344;125;238;0;341;64;346;1.689;507.500
ENERO;1;7;CHAMBERÍ;58.970;4.800;6.850;70.620;274.480;19.140;460;2.740;0;296.820;523;271;53;176;2;398;62;351;2.845;401.600
ENERO;2;2;ARGANZUELA;10.540;14.640;37.680;62.860;256.400;32.480;1.620;3.127;0;293.627;819;204;3;69;0;281;42;157;1.155;401.900
ENERO;2;3;RETIRO;28.788;14.394;4.798;47.980;206.128;22.340;500;15.400;0;244.368;483;357;26;54;0;236;46;149;910;358.400
ENERO;2;4;SALAMANCA;11.670;8.620;2.150;22.440;412.860;23.020;400;3.500;0;439.780;664;493;18;69;0;350;61;108;410;411.300
ENERO;2;5;CHAMARTÍN;22.520;12.880;8.760;44.160;218.960;38.260;1.360;28.187;35.500;322.267;805;259;0;77;0;487;52;233;1.741;450.200
ENERO;3;8;FUENCARRAL;82.080;55.420;39.870;177.370;238.160;40.300;0;34.980;17.120;330.560;1.495;177;89;99;0;584;62;211;2.879;417.600
ENERO;3;9;MONCLOA;3.020;6.500;3.500;13.020;24.480;8.900;0;17.520;3.360;54.260;1.132;241;86;85;0;579;62;228;2.308;235.400
ENERO;3;10;LATINA;134.900;70.980;108.120;314.000;232.540;60.160;1.020;8.200;0;301.920;1.251;150;28;88;0;449;62;264;3.544;438.100
ENERO;4;15;CIUDAD LINEAL;48.286;34.118;70.378;152.782;297.458;49.574;52;42.658;9.513;399.255;1.110;516;4;119;0;449;0;142;1.070;622.600
ENERO;4;16;HORTALEZA;41.388;29.244;60.324;130.956;254.964;42.492;48;36.564;8.154;342.222;1.730;179;142;156;0;461;124;183;1.986;609.300
ENERO;4;20;SAN BLAS;34.490;24.370;50.270;109.130;212.470;35.410;40;30.470;6.795;285.185;1.218;361;33;143;0;419;62;121;916;546.200
ENERO;4;21;BARAJAS;13.796;9.748;20.108;43.652;84.988;14.164;20;12.188;2.718;114.078;580;115;13;54;0;260;0;74;1.193;417.100
ENERO;5;13;PUENTE DE VALLECAS;20.131;6.636;200.394;227.161;379.509;55.936;245;31.049;45.881;512.620;1.472;237;93;270;0;545;35;346;2.627;661.200
ENERO;5;18;VILLA DE VALLECAS;13.007;7.584;99.736;120.326;112.296;20.976;280;14.871;21.364;169.787;525;85;20;76;0;187;8;117;634;311.100
ENERO;5;14;MORATALAZ;8.628;2.844;58.026;69.497;98.361;48.944;105;9.571;13.449;170.430;667;97;95;128;0;232;14;92;1.202;392.200
ENERO;5;19;VICÁLVARO;5.752;1.896;38.684;46.332;65.574;13.984;70;6.218;8.966;94.812;554;117;35;90;0;245;5;48;303;344.300
ENERO;6;11;CARABANCHEL;5.861;10.815;248.951;265.627;222.578;48.365;114;31.002;38.790;340.850;1.587;449;65;188;0;589;70;252;3.002;628.900
ENERO;6;12;USERA;3.463;6.391;147.107;156.961;131.524;28.579;68;18.320;22.922;201.412;938;265;38;111;0;348;42;165;1.268;361.600
ENERO;6;17;VILLAVERDE;3.996;7.374;169.739;181.109;151.758;32.976;78;21.138;26.448;232.398;1.082;306;44;128;0;401;48;178;2.941;415.800
